% Dataset de notas categorizadas de universitarios de la FISI-UNMSM
@RELATION notas_categorizadas

@ATTRIBUTE cod_escuela REAL
@ATTRIBUTE cod_plan REAL
@ATTRIBUTE cod_asignatura {201003, 201101, 201103, 201104, 201105, 201106, 201205, 201207, 201208, 201210, 201211, 202004, 202007, 202008, 203001, 203005, 203008, 204004, 205001, 205006, 205008, 205009, 205010, 206001, 206007, 206008, 206009, 206010, 206011, 207002, 207007, 207008, 207009, 207010, 208001, 208003, 208007, 208008, 208009, 208010, 209003, 209006, 209007, 209008, 201204, 201206, 202001, 202003, 203004, 203007, 204001, 204002, 204008, 205007, 207003, 2010101, 2010102, 2010103, 2010104, 2010105, 2010106, 2010107, 2010201, 2010202, 2010203, 2010204, 2010205, 2010206, 2010207, 2010301, 2010302, 2010303, 2010304, 2010305, 2010306, 2010401, 2010402, 2010403, 2010404, 2010405, 2010406, 2010501, 2010502, 2010503, 2010504, 2010505, 2010506, 2010507, 2010601, 2010602, 2010603, 2010604, 2010605, 2010606, 2010607, 2010701, 2010702, 2010703, 2010704, 2010705, 2010706, 2010707, 2010801, 2010802, 2010803, 2010804, 2010805, 2010806, 2010807, 2010901, 2010902, 2010903, 2010904, 2010905, 2010906, 2011001, 2011003, 2011004, 2011005, 2011006, 2011101, 2011103, 2011104, 2011105, 2011106, 2011110, 2011115, 2011116, 2011120, 20118031, 20118032, 20118033, 20118034, 20118035, 20118036, 20118037, 2020203, 2020204, 2020301, 2020302, 2020303, 2020304, 2020306, 2020401, 2020402, 2020403, 2020404, 2020405, 2020406, 2020501, 2020502, 2020503, 2020504, 2020505, 2020506, 2020601, 2020602, 2020603, 2020604, 2020605, 2020606, 2020701, 2020702, 2020703, 2020704, 2020705, 2020798, 2020799, 2020801, 2020802, 2020803, 2020804, 2020805, 2020898, 2020899, 2020901, 2020902, 2020904, 2020905, 2021001, 2021002, 2021003, 2021004, 2021005, 2021099, 20W07056, 202W0301, 202W0302, 202W0303, 202W0304, 202W0305, 202W0306, 202W0307, 202009, 204006, 2011002, 2011102, 2011108, 2011112, 2011113, 2011121, 20118041, 20118042, 20118043, 20118044, 20118045, 20118046, 20118047, 2020903, 202W0401, 202W0402, 202W0403, 202W0404, 202W0405, 202W0406, 202W0407, 20118051, 20118052, 20118053, 20118054, 20118055, 20118056, 20118057, 202W0501, 202W0502, 202W0503, 202W0504, 202W0505, 202W0506, 202W0507, 20118061, 20118062, 20118063, 20118064, 20118065, 20118066, 20118067, 202W0601, 202W0602, 202W0603, 202W0604, 202W0605, 202W0606, 202W0607}
@ATTRIBUTE categoria_nota {Aceptable, Reprobado, Baja, Alta}

@DATA
1,2009,207010,Aceptable
1,2009,207010,Alta
1,2009,207010,Reprobado
1,2009,207010,Baja
1,2009,207010,Aceptable
1,2009,208001,Reprobado
1,2009,208001,Aceptable
1,2009,208001,Alta
1,2009,208001,Reprobado
1,2009,208001,Alta
1,2009,208001,Alta
1,2009,208001,Reprobado
1,2009,208001,Alta
1,2009,208003,Reprobado
1,2009,208003,Baja
1,2009,208003,Baja
1,2009,208003,Reprobado
1,2009,208003,Aceptable
1,2009,208007,Reprobado
1,2009,208007,Aceptable
1,2009,208007,Reprobado
1,2009,208007,Aceptable
1,2009,208007,Baja
1,2009,208008,Reprobado
1,2009,208008,Baja
1,2009,208008,Baja
1,2009,208008,Reprobado
1,2009,208008,Reprobado
1,2009,208008,Baja
1,2009,208008,Baja
1,2009,208008,Reprobado
1,2009,208008,Aceptable
1,2009,208008,Alta
1,2009,208008,Reprobado
1,2009,208008,Alta
1,2009,208008,Baja
1,2009,208009,Reprobado
1,2009,208009,Baja
1,2009,208009,Baja
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Baja
1,2009,208010,Baja
1,2009,208010,Reprobado
1,2009,208010,Aceptable
1,2009,209003,Aceptable
1,2009,209003,Aceptable
1,2009,209003,Aceptable
1,2009,209003,Aceptable
1,2009,209003,Baja
1,2009,209003,Aceptable
1,2009,209003,Aceptable
1,2009,209006,Alta
1,2009,209006,Alta
1,2009,209006,Aceptable
1,2009,209006,Reprobado
1,2009,209006,Baja
1,2009,209007,Reprobado
1,2009,209007,Reprobado
1,2009,209007,Reprobado
1,2009,209007,Reprobado
1,2009,209007,Baja
1,2009,209007,Baja
1,2009,209007,Reprobado
1,2009,209007,Baja
1,2009,209007,Baja
1,2009,209007,Reprobado
1,2009,209007,Aceptable
1,2009,209007,Reprobado
1,2009,209008,Baja
1,2009,209008,Baja
1,2009,201101,Baja
1,2009,201101,Reprobado
1,2009,201101,Baja
1,2009,201101,Baja
1,2009,201101,Aceptable
1,2009,201101,Baja
1,2009,201101,Baja
1,2009,201101,Aceptable
1,2009,201101,Baja
1,2009,201101,Baja
1,2009,201101,Baja
1,2009,201101,Baja
1,2009,201101,Baja
1,2009,201101,Aceptable
1,2009,201101,Aceptable
1,2009,201101,Aceptable
1,2009,201101,Baja
1,2009,201101,Alta
1,2009,201101,Reprobado
1,2009,201101,Reprobado
1,2009,201101,Reprobado
1,2009,201101,Reprobado
1,2009,201101,Alta
1,2009,201101,Aceptable
1,2009,201101,Reprobado
1,2009,201101,Aceptable
1,2009,201101,Aceptable
1,2009,201101,Reprobado
1,2009,201101,Aceptable
1,2009,201101,Aceptable
1,2009,201103,Aceptable
1,2009,201103,Aceptable
1,2009,201103,Aceptable
1,2009,201103,Aceptable
1,2009,201103,Aceptable
1,2009,201103,Baja
1,2009,201103,Aceptable
1,2009,201103,Baja
1,2009,201103,Aceptable
1,2009,201103,Aceptable
1,2009,201103,Aceptable
1,2009,201103,Aceptable
1,2009,201103,Baja
1,2009,201103,Baja
1,2009,201103,Aceptable
1,2009,201103,Aceptable
1,2009,201103,Alta
1,2009,201103,Aceptable
1,2009,201103,Aceptable
1,2009,201103,Aceptable
1,2009,201103,Baja
1,2009,201103,Aceptable
1,2009,201104,Reprobado
1,2009,201104,Aceptable
1,2009,201104,Aceptable
1,2009,201104,Baja
1,2009,201104,Aceptable
1,2009,201104,Aceptable
1,2009,201104,Aceptable
1,2009,201104,Baja
1,2009,201104,Baja
1,2009,201104,Baja
1,2009,201104,Baja
1,2009,201104,Aceptable
1,2009,201104,Baja
1,2009,201104,Aceptable
1,2009,201104,Baja
1,2009,201104,Aceptable
1,2009,201104,Baja
1,2009,201104,Baja
1,2009,201104,Aceptable
1,2009,201104,Aceptable
1,2009,201104,Baja
1,2009,201104,Aceptable
1,2009,201104,Baja
1,2009,201104,Baja
1,2009,201104,Baja
1,2009,201104,Aceptable
1,2009,201104,Aceptable
1,2009,201104,Aceptable
1,2009,201104,Baja
1,2009,201104,Baja
1,2009,201104,Aceptable
1,2009,201104,Baja
1,2009,201104,Reprobado
1,2009,201104,Aceptable
1,2009,201105,Reprobado
1,2009,201105,Reprobado
1,2009,201105,Baja
1,2009,201105,Reprobado
1,2009,201105,Aceptable
1,2009,201105,Reprobado
1,2009,201105,Aceptable
1,2009,201105,Reprobado
1,2009,201105,Reprobado
1,2009,201105,Reprobado
1,2009,201105,Baja
1,2009,201105,Reprobado
1,2009,201105,Reprobado
1,2009,201105,Baja
1,2009,201105,Aceptable
1,2009,201105,Baja
1,2009,201105,Aceptable
1,2009,201105,Baja
1,2009,201105,Baja
1,2009,201105,Aceptable
1,2009,201105,Alta
1,2009,201105,Baja
1,2009,201105,Aceptable
1,2009,201105,Reprobado
1,2009,201105,Baja
1,2009,201105,Aceptable
1,2009,201105,Baja
1,2009,201105,Alta
1,2009,201105,Reprobado
1,2009,201105,Alta
1,2009,201105,Reprobado
1,2009,201105,Aceptable
1,2009,201105,Reprobado
1,2009,201105,Baja
1,2009,201105,Reprobado
1,2009,201105,Reprobado
1,2009,201105,Baja
1,2009,201105,Baja
1,2009,201105,Aceptable
1,2009,201105,Reprobado
1,2009,201105,Baja
1,2009,201105,Baja
1,2009,201105,Reprobado
1,2009,201106,Baja
1,2009,201106,Aceptable
1,2009,201106,Aceptable
1,2009,201106,Aceptable
1,2009,201106,Aceptable
1,2009,201106,Baja
1,2009,201106,Baja
1,2009,201106,Baja
1,2009,201106,Baja
1,2009,201106,Aceptable
1,2009,201106,Aceptable
1,2009,201106,Baja
1,2009,201106,Aceptable
1,2009,201106,Aceptable
1,2009,201106,Aceptable
1,2009,201106,Baja
1,2009,201204,Reprobado
1,2009,201204,Baja
1,2009,201204,Reprobado
1,2009,201204,Reprobado
1,2009,201205,Baja
1,2009,201205,Reprobado
1,2009,201205,Reprobado
1,2009,201205,Aceptable
1,2009,201205,Baja
1,2009,201205,Baja
1,2009,201206,Reprobado
1,2009,201206,Baja
1,2009,201207,Baja
1,2009,201207,Aceptable
1,2009,201207,Aceptable
1,2009,201207,Reprobado
1,2009,201207,Baja
1,2009,201207,Baja
1,2009,201207,Baja
1,2009,201207,Baja
1,2009,201207,Baja
1,2009,201208,Aceptable
1,2009,201208,Aceptable
1,2009,201208,Aceptable
1,2009,201208,Aceptable
1,2009,201210,Reprobado
1,2009,201210,Aceptable
1,2009,201211,Aceptable
1,2009,201211,Aceptable
1,2009,201211,Aceptable
1,2009,201211,Reprobado
1,2009,201211,Baja
1,2009,201211,Aceptable
1,2009,201211,Reprobado
1,2009,201211,Reprobado
1,2009,201211,Reprobado
1,2009,201211,Aceptable
1,2009,201211,Reprobado
1,2009,201211,Reprobado
1,2009,201211,Reprobado
1,2009,201211,Reprobado
1,2009,202001,Reprobado
1,2009,202001,Reprobado
1,2009,202001,Baja
1,2009,202003,Baja
1,2009,202003,Reprobado
1,2009,202004,Baja
1,2009,202004,Reprobado
1,2009,202007,Baja
1,2009,202008,Baja
1,2009,202008,Reprobado
1,2009,203001,Baja
1,2009,203001,Reprobado
1,2009,203004,Reprobado
1,2009,203004,Reprobado
1,2009,203005,Reprobado
1,2009,203005,Reprobado
1,2009,203005,Baja
1,2009,203007,Reprobado
1,2009,204001,Baja
1,2009,204001,Baja
1,2009,204001,Reprobado
1,2009,204001,Aceptable
1,2009,204001,Baja
1,2009,204001,Baja
1,2009,204002,Baja
1,2009,204002,Baja
1,2009,204002,Reprobado
1,2009,204004,Reprobado
1,2009,204004,Reprobado
1,2009,204004,Reprobado
1,2009,204008,Aceptable
1,2009,205001,Aceptable
1,2009,205001,Baja
1,2009,205001,Reprobado
1,2009,205001,Reprobado
1,2009,205006,Reprobado
1,2009,205006,Reprobado
1,2009,205006,Reprobado
1,2009,205006,Reprobado
1,2009,205006,Reprobado
1,2009,205006,Aceptable
1,2009,205006,Reprobado
1,2009,205006,Baja
1,2009,205006,Reprobado
1,2009,205006,Reprobado
1,2009,205007,Baja
1,2009,205007,Reprobado
1,2009,205007,Reprobado
1,2009,205007,Reprobado
1,2009,205007,Reprobado
1,2009,205008,Reprobado
1,2009,205008,Baja
1,2009,205009,Reprobado
1,2009,205009,Reprobado
1,2009,205009,Reprobado
1,2009,205009,Reprobado
1,2009,205009,Reprobado
1,2009,205009,Reprobado
1,2009,206001,Aceptable
1,2009,206001,Reprobado
1,2009,206001,Baja
1,2009,206001,Reprobado
1,2009,206001,Baja
1,2009,206001,Baja
1,2009,206001,Reprobado
1,2009,206007,Reprobado
1,2009,206007,Reprobado
1,2009,206007,Baja
1,2009,206007,Reprobado
1,2009,206007,Baja
1,2009,206007,Baja
1,2009,206007,Baja
1,2009,206007,Reprobado
1,2009,206008,Reprobado
1,2009,206008,Reprobado
1,2009,206009,Reprobado
1,2009,206009,Reprobado
1,2009,206009,Baja
1,2009,206009,Baja
1,2009,206010,Aceptable
1,2009,206010,Baja
1,2009,206010,Baja
1,2009,206010,Reprobado
1,2009,206010,Baja
1,2009,206010,Reprobado
1,2009,206010,Baja
1,2009,206011,Baja
1,2009,206011,Reprobado
1,2009,207002,Baja
1,2009,207002,Aceptable
1,2009,207002,Reprobado
1,2009,207002,Baja
1,2009,207003,Reprobado
1,2009,207003,Reprobado
1,2009,207003,Reprobado
1,2009,207003,Baja
1,2009,207003,Reprobado
1,2009,207003,Baja
1,2009,207007,Baja
1,2009,207007,Baja
1,2009,207007,Reprobado
1,2009,207007,Baja
1,2009,207007,Baja
1,2009,207007,Baja
1,2009,207007,Aceptable
1,2009,207007,Baja
1,2009,207008,Baja
1,2009,207008,Baja
1,2009,207008,Reprobado
1,2009,207008,Reprobado
1,2009,207008,Baja
1,2009,207008,Reprobado
1,2009,207008,Baja
1,2009,207009,Baja
1,2009,207009,Baja
1,2009,207009,Reprobado
1,2009,207009,Baja
1,2009,207009,Aceptable
1,2009,207009,Aceptable
1,2009,207009,Baja
1,2009,207009,Reprobado
1,2009,207009,Baja
1,2009,207009,Reprobado
1,2009,207010,Reprobado
1,2009,207010,Aceptable
1,2009,207010,Aceptable
1,2009,207010,Aceptable
1,2009,207010,Baja
1,2009,207010,Reprobado
1,2009,207010,Reprobado
1,2009,207010,Aceptable
1,2009,207010,Baja
1,2009,208001,Alta
1,2009,208001,Alta
1,2009,208001,Aceptable
1,2009,208001,Alta
1,2009,208001,Alta
1,2009,208001,Aceptable
1,2009,208001,Baja
1,2009,208001,Alta
1,2009,208001,Aceptable
1,2009,208001,Baja
1,2009,208001,Baja
1,2009,208001,Alta
1,2009,208001,Alta
1,2009,208001,Alta
1,2009,208003,Alta
1,2009,208003,Aceptable
1,2009,208003,Aceptable
1,2009,208003,Reprobado
1,2009,208003,Reprobado
1,2009,208003,Reprobado
1,2009,208003,Baja
1,2009,208003,Alta
1,2009,208003,Baja
1,2009,208003,Reprobado
1,2009,208003,Aceptable
1,2009,208003,Reprobado
1,2009,208003,Baja
1,2009,208003,Baja
1,2009,208003,Baja
1,2009,208007,Baja
1,2009,208007,Aceptable
1,2009,208007,Aceptable
1,2009,208007,Aceptable
1,2009,208007,Baja
1,2009,208007,Aceptable
1,2009,208007,Aceptable
1,2009,208007,Aceptable
1,2009,208007,Aceptable
1,2009,208007,Aceptable
1,2009,208007,Baja
1,2009,208007,Baja
1,2009,208007,Aceptable
1,2009,208007,Baja
1,2009,208008,Alta
1,2009,208008,Reprobado
1,2009,208008,Reprobado
1,2009,208008,Reprobado
1,2009,208008,Reprobado
1,2009,208008,Aceptable
1,2009,208008,Aceptable
1,2009,208008,Reprobado
1,2009,208008,Alta
1,2009,208008,Reprobado
1,2009,208008,Reprobado
1,2009,208008,Reprobado
1,2009,208008,Reprobado
1,2009,208008,Reprobado
1,2009,208008,Aceptable
1,2009,208008,Alta
1,2009,208008,Aceptable
1,2009,208008,Aceptable
1,2009,208008,Alta
1,2009,208008,Reprobado
1,2009,208008,Reprobado
1,2009,208008,Reprobado
1,2009,208008,Reprobado
1,2009,208008,Reprobado
1,2009,208008,Reprobado
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Baja
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Baja
1,2009,208009,Baja
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Baja
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Baja
1,2009,208009,Aceptable
1,2009,208009,Reprobado
1,2009,208009,Baja
1,2009,208009,Baja
1,2009,208009,Baja
1,2009,208009,Aceptable
1,2009,208009,Aceptable
1,2009,208009,Baja
1,2009,208009,Aceptable
1,2009,208009,Baja
1,2009,208009,Aceptable
1,2009,208010,Baja
1,2009,208010,Baja
1,2009,208010,Baja
1,2009,208010,Baja
1,2009,208010,Aceptable
1,2009,208010,Reprobado
1,2009,208010,Reprobado
1,2009,208010,Baja
1,2009,208010,Baja
1,2009,208010,Baja
1,2009,208010,Baja
1,2009,208010,Reprobado
1,2009,208010,Baja
1,2009,208010,Baja
1,2009,208010,Baja
1,2009,208010,Baja
1,2009,208010,Baja
1,2009,208010,Baja
1,2009,208010,Baja
1,2009,209003,Aceptable
1,2009,209003,Aceptable
1,2009,209003,Aceptable
1,2009,209003,Aceptable
1,2009,209003,Aceptable
1,2009,209003,Aceptable
1,2009,209003,Aceptable
1,2009,209003,Aceptable
1,2009,209003,Aceptable
1,2009,209003,Baja
1,2009,209003,Aceptable
1,2009,209003,Baja
1,2009,209003,Aceptable
1,2009,209003,Aceptable
1,2009,209003,Aceptable
1,2009,209006,Aceptable
1,2009,209006,Alta
1,2009,209006,Aceptable
1,2009,209006,Alta
1,2009,209006,Aceptable
1,2009,209006,Alta
1,2009,209006,Alta
1,2009,209006,Reprobado
1,2009,209006,Aceptable
1,2009,209006,Aceptable
1,2009,209006,Alta
1,2009,209006,Alta
1,2009,209006,Reprobado
1,2009,209006,Reprobado
1,2009,209006,Baja
1,2009,209006,Baja
1,2009,209006,Baja
1,2009,209007,Baja
1,2009,209007,Baja
1,2009,209007,Aceptable
1,2009,209007,Aceptable
1,2009,209007,Aceptable
1,2009,209007,Reprobado
1,2009,209007,Reprobado
1,2009,209007,Baja
1,2009,209007,Baja
1,2009,209007,Baja
1,2009,209007,Baja
1,2009,209007,Baja
1,2009,209007,Aceptable
1,2009,209007,Baja
1,2009,209007,Reprobado
1,2009,209007,Aceptable
1,2009,209007,Baja
1,2009,209007,Baja
1,2009,209007,Aceptable
1,2009,209007,Aceptable
1,2009,209007,Reprobado
1,2009,209007,Reprobado
1,2009,209007,Aceptable
1,2009,209007,Baja
1,2009,209007,Reprobado
1,2009,209007,Baja
1,2009,209007,Reprobado
1,2009,209007,Alta
1,2009,209007,Reprobado
1,2009,209008,Aceptable
1,2009,209008,Baja
1,2009,209008,Alta
1,2009,209008,Baja
1,2009,209008,Reprobado
1,2014,2010101,Baja
1,2014,2010101,Baja
1,2014,2010101,Aceptable
1,2014,2010102,Alta
1,2014,2010102,Aceptable
1,2014,2010102,Aceptable
1,2014,2010103,Aceptable
1,2014,2010103,Baja
1,2014,2010103,Baja
1,2014,2010103,Baja
1,2014,2010104,Baja
1,2014,2010104,Reprobado
1,2014,2010105,Aceptable
1,2014,2010105,Aceptable
1,2014,2010106,Aceptable
1,2014,2010106,Aceptable
1,2014,2010106,Aceptable
1,2014,2010106,Baja
1,2014,2010106,Aceptable
1,2014,2010107,Aceptable
1,2014,2010107,Alta
1,2014,2010107,Baja
1,2014,2010201,Baja
1,2014,2010201,Baja
1,2014,2010201,Baja
1,2014,2010202,Aceptable
1,2014,2010202,Aceptable
1,2014,2010203,Reprobado
1,2014,2010203,Baja
1,2014,2010203,Baja
1,2014,2010203,Reprobado
1,2014,2010203,Aceptable
1,2014,2010203,Reprobado
1,2014,2010203,Baja
1,2014,2010203,Reprobado
1,2014,2010203,Reprobado
1,2014,2010203,Baja
1,2014,2010203,Reprobado
1,2014,2010203,Baja
1,2014,2010203,Reprobado
1,2014,2010203,Reprobado
1,2014,2010203,Reprobado
1,2014,2010204,Reprobado
1,2014,2010204,Reprobado
1,2014,2010204,Reprobado
1,2014,2010204,Reprobado
1,2014,2010204,Baja
1,2014,2010204,Reprobado
1,2014,2010204,Reprobado
1,2014,2010204,Reprobado
1,2014,2010204,Baja
1,2014,2010204,Baja
1,2014,2010204,Reprobado
1,2014,2010204,Baja
1,2014,2010204,Reprobado
1,2014,2010204,Baja
1,2014,2010204,Baja
1,2014,2010204,Baja
1,2014,2010204,Reprobado
1,2014,2010204,Reprobado
1,2014,2010204,Baja
1,2014,2010204,Reprobado
1,2014,2010204,Baja
1,2014,2010204,Baja
1,2014,2010204,Reprobado
1,2014,2010204,Reprobado
1,2014,2010204,Reprobado
1,2014,2010204,Reprobado
1,2014,2010204,Reprobado
1,2014,2010204,Reprobado
1,2014,2010204,Reprobado
1,2014,2010204,Reprobado
1,2014,2010204,Baja
1,2014,2010204,Reprobado
1,2014,2010204,Reprobado
1,2014,2010205,Reprobado
1,2014,2010205,Aceptable
1,2014,2010205,Baja
1,2014,2010205,Baja
1,2014,2010205,Baja
1,2014,2010205,Reprobado
1,2014,2010205,Reprobado
1,2014,2010205,Baja
1,2014,2010205,Reprobado
1,2014,2010205,Baja
1,2014,2010205,Reprobado
1,2014,2010205,Reprobado
1,2014,2010205,Baja
1,2014,2010205,Reprobado
1,2014,2010205,Reprobado
1,2014,2010205,Reprobado
1,2014,2010205,Baja
1,2014,2010205,Reprobado
1,2014,2010205,Reprobado
1,2014,2010205,Reprobado
1,2014,2010205,Baja
1,2014,2010205,Reprobado
1,2014,2010205,Baja
1,2014,2010206,Baja
1,2014,2010206,Baja
1,2014,2010206,Baja
1,2014,2010206,Baja
1,2014,2010206,Baja
1,2014,2010206,Aceptable
1,2014,2010206,Reprobado
1,2014,2010206,Reprobado
1,2014,2010206,Baja
1,2014,2010206,Reprobado
1,2014,2010206,Reprobado
1,2014,2010206,Reprobado
1,2014,2010206,Baja
1,2014,2010206,Baja
1,2014,2010206,Baja
1,2014,2010206,Reprobado
1,2014,2010206,Baja
1,2014,2010207,Reprobado
1,2014,2010207,Aceptable
1,2014,2010207,Alta
1,2014,2010207,Aceptable
1,2014,2010207,Aceptable
1,2014,2010207,Alta
1,2014,2010207,Baja
1,2014,2010207,Aceptable
1,2014,2010301,Baja
1,2014,2010301,Reprobado
1,2014,2010301,Baja
1,2014,2010301,Reprobado
1,2014,2010301,Baja
1,2014,2010301,Aceptable
1,2014,2010301,Aceptable
1,2014,2010301,Baja
